Tiempo,Tamanio
0.001254,1
0.000681,2
0.000664,4
0.000675,8
0.000671,16
0.000669,32
0.000670,64
0.000668,128
0.000689,256
0.000688,512
0.000683,1024
0.000691,2048
0.000703,4096
0.000734,8192
0.000797,16384
0.000958,32768
0.001204,65536
0.001653,131072
0.002132,262144
0.002837,524288
0.004529,1048576
0.008143,2097152
0.015068,4194304
0.029410,8388608
0.059006,16777216
0.115002,33554432
0.318533,67108864
0.778596,134217728
0.931327,268435456
2.033342,536870912
3.675990,1073741824
0.000674,1
0.000657,2
0.000657,4
0.000662,8
0.000687,16
0.000660,32
0.000691,64
0.000659,128
0.000661,256
0.000665,512
0.000666,1024
0.000702,2048
0.000683,4096
0.000700,8192
0.000728,16384
0.000827,32768
0.000955,65536
0.001174,131072
0.001607,262144
0.002502,524288
0.004285,1048576
0.007858,2097152
0.014981,4194304
0.029248,8388608
0.057765,16777216
0.115738,33554432
0.228904,67108864
0.461439,134217728
0.921823,268435456
1.958826,536870912
3.758533,1073741824
0.000671,1
0.000665,2
0.000655,4
0.000667,8
0.000655,16
0.000667,32
0.000656,64
0.000657,128
0.000662,256
0.000675,512
0.000666,1024
0.000673,2048
0.000681,4096
0.000697,8192
0.000737,16384
0.000833,32768
0.000961,65536
0.001177,131072
0.001612,262144
0.002506,524288
0.004295,1048576
0.007881,2097152
0.014997,4194304
0.029275,8388608
0.057785,16777216
0.116364,33554432
0.232662,67108864
0.458145,134217728
0.918963,268435456
1.848019,536870912
3.711734,1073741824
0.000676,1
0.000654,2
0.000654,4
0.000660,8
0.000653,16
0.000656,32
0.000659,64
0.000685,128
0.000661,256
0.000663,512
0.000667,1024
0.000679,2048
0.000677,4096
0.000698,8192
0.000726,16384
0.000827,32768
0.000950,65536
0.001172,131072
0.001605,262144
0.002497,524288
0.004283,1048576
0.007856,2097152
0.014981,4194304
0.029253,8388608
0.058734,16777216
0.114842,33554432
0.239552,67108864
0.459014,134217728
0.924098,268435456
1.858013,536870912
3.753354,1073741824
0.000668,1
0.000654,2
0.000657,4
0.000699,8
0.000692,16
0.000656,32
0.000654,64
0.000681,128
0.000664,256
0.000665,512
0.000665,1024
0.000672,2048
0.000693,4096
0.000695,8192
0.000730,16384
0.000831,32768
0.000957,65536
0.001173,131072
0.001609,262144
0.002504,524288
0.004317,1048576
0.007901,2097152
0.015023,4194304
0.029289,8388608
0.057810,16777216
0.114876,33554432
0.229397,67108864
0.458974,134217728
0.922899,268435456
1.880489,536870912
3.716583,1073741824
0.000670,1
0.000653,2
0.000658,4
0.000690,8
0.000660,16
0.000684,32
0.000659,64
0.000692,128
0.000696,256
0.000664,512
0.000665,1024
0.000683,2048
0.000677,4096
0.000695,8192
0.000726,16384
0.000832,32768
0.000949,65536
0.001153,131072
0.001590,262144
0.002482,524288
0.004285,1048576
0.007857,2097152
0.014980,4194304
0.030181,8388608
0.058309,16777216
0.115331,33554432
0.230858,67108864
0.462791,134217728
0.921533,268435456
1.838415,536870912
3.675272,1073741824
0.000668,1
0.000650,2
0.000652,4
0.000657,8
0.000688,16
0.000656,32
0.000687,64
0.000656,128
0.000694,256
0.000661,512
0.000662,1024
0.000675,2048
0.000675,4096
0.000691,8192
0.000723,16384
0.000824,32768
0.000948,65536
0.001169,131072
0.001606,262144
0.002518,524288
0.004294,1048576
0.007854,2097152
0.014974,4194304
0.029239,8388608
0.057761,16777216
0.116714,33554432
0.228862,67108864
0.458882,134217728
0.921257,268435456
1.875710,536870912
3.701932,1073741824
0.000667,1
0.000650,2
0.000656,4
0.000681,8
0.000688,16
0.000693,32
0.000692,64
0.000656,128
0.000689,256
0.000666,512
0.000661,1024
0.000667,2048
0.000676,4096
0.000694,8192
0.000731,16384
0.000832,32768
0.000953,65536
0.001172,131072
0.001606,262144
0.002505,524288
0.004303,1048576
0.007910,2097152
0.015095,4194304
0.029340,8388608
0.062613,16777216
0.115882,33554432
0.228872,67108864
0.458628,134217728
0.916451,268435456
1.833363,536870912
3.700428,1073741824
0.000665,1
0.000648,2
0.000651,4
0.000656,8
0.000683,16
0.000653,32
0.000683,64
0.000654,128
0.000661,256
0.000659,512
0.000671,1024
0.000664,2048
0.000672,4096
0.000689,8192
0.000723,16384
0.000822,32768
0.000940,65536
0.001171,131072
0.001604,262144
0.002480,524288
0.004279,1048576
0.007850,2097152
0.014973,4194304
0.029224,8388608
0.060307,16777216
0.115743,33554432
0.228846,67108864
0.458937,134217728
0.920789,268435456
1.853567,536870912
3.829671,1073741824
0.000664,1
0.000648,2
0.000655,4
0.000684,8
0.000685,16
0.000687,32
0.000693,64
0.000692,128
0.000695,256
0.000662,512
0.000662,1024
0.000664,2048
0.000674,4096
0.000693,8192
0.000729,16384
0.000831,32768
0.000948,65536
0.001175,131072
0.001616,262144
0.002511,524288
0.004317,1048576
0.007954,2097152
0.015291,4194304
0.030160,8388608
0.058425,16777216
0.117469,33554432
0.234631,67108864
0.464497,134217728
0.997310,268435456
1.943100,536870912
3.748086,1073741824
