De,A,Tiempo
0,1,0.711503
0,2,0.781687
0,3,0.576291
1,0,0.434263
1,2,0.417601
1,3,0.356673
2,0,0.461319
2,1,0.364035
2,3,0.359490
3,0,0.441121
3,1,0.366844
3,2,0.374491
0,1,0.432455
0,2,0.445300
0,3,0.415751
1,0,0.422665
1,2,0.357893
1,3,0.355786
2,0,0.419571
2,1,0.361906
2,3,0.359220
3,0,0.436410
3,1,0.360289
3,2,0.358348
0,1,0.428517
0,2,0.419394
0,3,0.404597
1,0,0.402623
1,2,0.358488
1,3,0.356746
2,0,0.410595
2,1,0.361537
2,3,0.360828
3,0,0.426503
3,1,0.362085
3,2,0.356798
0,1,0.425149
0,2,0.400490
0,3,0.395105
1,0,0.408897
1,2,0.355430
1,3,0.358270
2,0,0.389395
2,1,0.359565
2,3,0.358293
3,0,0.413105
3,1,0.361221
3,2,0.357730
0,1,0.429236
0,2,0.413509
0,3,0.389278
1,0,0.407734
1,2,0.354532
1,3,0.355779
2,0,0.399873
2,1,0.361479
2,3,0.358382
3,0,0.410040
3,1,0.361491
3,2,0.358470
0,1,0.405190
0,2,0.433573
0,3,0.394179
1,0,0.410837
1,2,0.356427
1,3,0.355790
2,0,0.413580
2,1,0.361127
2,3,0.359020
3,0,0.406845
3,1,0.360329
3,2,0.360696
0,1,0.422426
0,2,0.451375
0,3,0.415072
1,0,0.416721
1,2,0.356416
1,3,0.356725
2,0,0.402827
2,1,0.360527
2,3,0.358869
3,0,0.407974
3,1,0.360240
3,2,0.356824
0,1,0.401312
0,2,0.410779
0,3,0.387973
1,0,0.393057
1,2,0.357730
1,3,0.356768
2,0,0.415345
2,1,0.359567
2,3,0.361145
3,0,0.399464
3,1,0.361254
3,2,0.362529
0,1,0.415888
0,2,0.417182
0,3,0.391725
1,0,0.394462
1,2,0.354566
1,3,0.355774
2,0,0.391295
2,1,0.360452
2,3,0.357332
3,0,0.397598
3,1,0.361204
3,2,0.357751
0,1,0.401484
0,2,0.399316
0,3,0.392111
1,0,0.395256
1,2,0.354720
1,3,0.357306
2,0,0.399064
2,1,0.361116
2,3,0.358283
3,0,0.413315
3,1,0.361293
3,2,0.358731
