Numero de procesadores,Tiempo
2,0.783998
4,1.336763
6,1.590758
8,1.800003
10,1.688006
12,1.352190
14,1.560003
16,1.747997
18,1.692002
20,1.836009
2,1.688005
4,1.684008
6,1.004007
8,1.708005
10,1.749456
12,1.904002
14,1.222168
16,1.785512
18,1.676375
20,1.788005
2,0.886625
4,1.136005
6,1.696008
8,1.699473
10,1.828035
12,1.304000
14,1.887614
16,1.736004
18,1.756001
20,1.728010
2,0.664916
4,0.800007
6,1.672009
8,1.164009
10,1.655984
12,1.708005
14,1.828001
16,1.708005
18,1.860006
20,1.740006
2,0.868011
4,0.996008
6,1.183551
8,1.151998
10,1.808002
12,1.358019
14,1.696002
16,1.700212
18,1.724002
20,1.752000
2,0.876086
4,0.954440
6,1.724149
8,1.108011
10,1.842741
12,1.736078
14,1.655997
16,1.680017
18,1.676072
20,1.812029
2,1.532000
4,1.667993
6,1.107408
8,0.988009
10,1.140003
12,1.368011
14,1.716008
16,1.436008
18,1.796003
20,1.776002
2,0.707184
4,1.356008
6,1.684000
8,1.094920
10,1.424000
12,1.524002
14,1.744005
16,1.788000
18,1.716060
20,1.816001
2,0.855144
4,0.996430
6,1.776940
8,1.244019
10,1.832004
12,1.564200
14,1.696011
16,1.787988
18,1.604329
20,1.712012
2,0.697989
4,0.998873
6,1.779997
8,1.756002
10,1.755998
12,1.795004
14,1.708014
16,1.776007
18,1.704006
20,1.708029
