Procesador,tCalculo,tComm,Chunk
4,1.270668,0.142497,1000.000000
1,1.417196,0.000467,1000.000000
3,1.416546,0.011533,1000.000000
0,1.413341,0.015510,1000.000000
2,1.427948,0.000652,1000.000000
4,1.032825,0.000019,10000.000000
1,1.137495,0.000041,10000.000000
3,1.128871,0.000037,10000.000000
2,1.207764,0.000076,10000.000000
0,1.160093,0.047784,10000.000000
4,1.054489,0.000009,100000.000000
1,1.018254,0.000009,100000.000000
3,1.044248,0.000010,100000.000000
2,1.032876,0.000015,100000.000000
0,1.002625,0.030263,100000.000000
1,0.940502,0.000017,1000000.000000
4,1.234374,0.000016,1000000.000000
3,1.150685,0.000015,1000000.000000
2,1.055472,0.027270,1000000.000000
0,0.769600,0.313140,1000000.000000
1,0.879929,0.000008,2000000.000000
3,1.255007,0.000008,2000000.000000
2,1.089534,0.165457,2000000.000000
0,0.535169,0.838846,2000000.000000
4,1.391086,0.000008,2000000.000000
