f,c,acceso,tiempo
500,500,Filas,0.003833
500,500,FilasSec,0.004615
500,500,Columnas,0.002112
500,500,ColumnasSec,0.002164
2500,2500,Filas,0.035660
2500,2500,FilasSec,0.035282
2500,2500,Columnas,0.028298
2500,2500,ColumnasSec,0.036465
4500,4500,Filas,0.051371
4500,4500,FilasSec,0.094883
4500,4500,Columnas,0.057116
4500,4500,ColumnasSec,0.101167
6500,6500,Filas,0.113697
6500,6500,FilasSec,0.198521
6500,6500,Columnas,0.148298
6500,6500,ColumnasSec,0.254882
8500,8500,Filas,0.183056
8500,8500,FilasSec,0.340288
8500,8500,Columnas,0.278408
8500,8500,ColumnasSec,0.493756
500,500,Filas,0.001126
500,500,FilasSec,0.001509
500,500,Columnas,0.001111
500,500,ColumnasSec,0.000948
2500,2500,Filas,0.018215
2500,2500,FilasSec,0.029564
2500,2500,Columnas,0.017871
2500,2500,ColumnasSec,0.032512
4500,4500,Filas,0.051511
4500,4500,FilasSec,0.096839
4500,4500,Columnas,0.059044
4500,4500,ColumnasSec,0.101032
6500,6500,Filas,0.108940
6500,6500,FilasSec,0.198411
6500,6500,Columnas,0.156458
6500,6500,ColumnasSec,0.259815
8500,8500,Filas,0.190297
8500,8500,FilasSec,0.341357
8500,8500,Columnas,0.287689
8500,8500,ColumnasSec,0.487080
500,500,Filas,0.000658
500,500,FilasSec,0.001175
500,500,Columnas,0.000861
500,500,ColumnasSec,0.001226
2500,2500,Filas,0.016382
2500,2500,FilasSec,0.029340
2500,2500,Columnas,0.017825
2500,2500,ColumnasSec,0.032439
4500,4500,Filas,0.051306
4500,4500,FilasSec,0.100550
4500,4500,Columnas,0.056975
4500,4500,ColumnasSec,0.101047
6500,6500,Filas,0.107570
6500,6500,FilasSec,0.198065
6500,6500,Columnas,0.153645
6500,6500,ColumnasSec,0.326834
8500,8500,Filas,0.182560
8500,8500,FilasSec,0.385425
8500,8500,Columnas,0.283085
8500,8500,ColumnasSec,0.505694
500,500,Filas,0.000648
500,500,FilasSec,0.001189
500,500,Columnas,0.000725
500,500,ColumnasSec,0.000942
2500,2500,Filas,0.016281
2500,2500,FilasSec,0.029558
2500,2500,Columnas,0.017815
2500,2500,ColumnasSec,0.032613
4500,4500,Filas,0.051284
4500,4500,FilasSec,0.095819
4500,4500,Columnas,0.057033
4500,4500,ColumnasSec,0.101066
6500,6500,Filas,0.107859
6500,6500,FilasSec,0.198713
6500,6500,Columnas,0.146769
6500,6500,ColumnasSec,0.255916
8500,8500,Filas,0.183565
8500,8500,FilasSec,0.338768
8500,8500,Columnas,0.278376
8500,8500,ColumnasSec,0.489314
500,500,Filas,0.000647
500,500,FilasSec,0.001176
500,500,Columnas,0.000907
500,500,ColumnasSec,0.000954
2500,2500,Filas,0.016403
2500,2500,FilasSec,0.029356
2500,2500,Columnas,0.018227
2500,2500,ColumnasSec,0.032713
4500,4500,Filas,0.051368
4500,4500,FilasSec,0.095048
4500,4500,Columnas,0.056486
4500,4500,ColumnasSec,0.100762
6500,6500,Filas,0.107567
6500,6500,FilasSec,0.199058
6500,6500,Columnas,0.150881
6500,6500,ColumnasSec,0.259935
8500,8500,Filas,0.183261
8500,8500,FilasSec,0.338533
8500,8500,Columnas,0.276659
8500,8500,ColumnasSec,0.487248
