Hilos,Schedule,Chunk,Limite,Primes,Tiempo
1,Static,100,10000000,664579,4.314183
1,Dynamic,100,10000000,664579,4.271923
1,Static,1000,10000000,664579,4.247151
1,Dynamic,1000,10000000,664579,4.267970
1,Static,10000,10000000,664579,4.285822
1,Dynamic,10000,10000000,664579,4.253808
1,Static,100000,10000000,664579,4.262171
1,Dynamic,100000,10000000,664579,4.267211
1,Static,1000000,10000000,664579,4.279154
1,Dynamic,1000000,10000000,664579,4.319454
1,Static,10000000,10000000,664579,4.283609
1,Dynamic,10000000,10000000,664579,4.267954
2,Static,100,10000000,664579,2.163156
2,Dynamic,100,10000000,664579,2.151129
2,Static,1000,10000000,664579,2.159335
2,Dynamic,1000,10000000,664579,2.146334
2,Static,10000,10000000,664579,2.149137
2,Dynamic,10000,10000000,664579,2.214988
2,Static,100000,10000000,664579,2.194873
2,Dynamic,100000,10000000,664579,2.174393
2,Static,1000000,10000000,664579,2.278652
2,Dynamic,1000000,10000000,664579,2.277532
2,Static,10000000,10000000,664579,4.293599
2,Dynamic,10000000,10000000,664579,4.264549
3,Static,100,10000000,664579,1.465917
3,Dynamic,100,10000000,664579,1.450497
3,Static,1000,10000000,664579,1.462865
3,Dynamic,1000,10000000,664579,1.451282
3,Static,10000,10000000,664579,1.459906
3,Dynamic,10000,10000000,664579,1.458559
3,Static,100000,10000000,664579,1.481214
3,Dynamic,100000,10000000,664579,1.460194
3,Static,1000000,10000000,664579,1.668657
3,Dynamic,1000000,10000000,664579,1.670125
3,Static,10000000,10000000,664579,4.258558
3,Dynamic,10000000,10000000,664579,4.302737
4,Static,100,10000000,664579,1.095610
4,Dynamic,100,10000000,664579,1.091442
4,Static,1000,10000000,664579,1.092682
4,Dynamic,1000,10000000,664579,1.086309
4,Static,10000,10000000,664579,1.101683
4,Dynamic,10000,10000000,664579,1.085897
4,Static,100000,10000000,664579,1.102518
4,Dynamic,100000,10000000,664579,1.106472
4,Static,1000000,10000000,664579,1.355098
4,Dynamic,1000000,10000000,664579,1.356385
4,Static,10000000,10000000,664579,4.290027
4,Dynamic,10000000,10000000,664579,4.286691
5,Static,100,10000000,664579,0.873589
5,Dynamic,100,10000000,664579,0.872836
5,Static,1000,10000000,664579,0.876399
5,Dynamic,1000,10000000,664579,0.871908
5,Static,10000,10000000,664579,0.877374
5,Dynamic,10000,10000000,664579,0.874289
5,Static,100000,10000000,664579,0.892386
5,Dynamic,100000,10000000,664579,0.888678
5,Static,1000000,10000000,664579,1.046382
5,Dynamic,1000000,10000000,664579,1.044310
5,Static,10000000,10000000,664579,4.290295
5,Dynamic,10000000,10000000,664579,4.302189
6,Static,100,10000000,664579,0.761847
6,Dynamic,100,10000000,664579,0.730031
6,Static,1000,10000000,664579,0.732108
6,Dynamic,1000,10000000,664579,0.727795
6,Static,10000,10000000,664579,0.730553
6,Dynamic,10000,10000000,664579,0.730818
6,Static,100000,10000000,664579,0.754201
6,Dynamic,100000,10000000,664579,0.752179
6,Static,1000000,10000000,664579,0.994419
6,Dynamic,1000000,10000000,664579,1.001686
6,Static,10000000,10000000,664579,4.288506
6,Dynamic,10000000,10000000,664579,4.302231
1,Static,100,10000000,664579,4.260873
1,Dynamic,100,10000000,664579,4.274944
1,Static,1000,10000000,664579,4.256805
1,Dynamic,1000,10000000,664579,4.288143
1,Static,10000,10000000,664579,4.269442
1,Dynamic,10000,10000000,664579,4.277687
1,Static,100000,10000000,664579,4.260736
1,Dynamic,100000,10000000,664579,4.269660
1,Static,1000000,10000000,664579,4.249914
1,Dynamic,1000000,10000000,664579,4.269967
1,Static,10000000,10000000,664579,4.252107
1,Dynamic,10000000,10000000,664579,4.257878
2,Static,100,10000000,664579,2.150488
2,Dynamic,100,10000000,664579,2.153725
2,Static,1000,10000000,664579,2.162915
2,Dynamic,1000,10000000,664579,2.148268
2,Static,10000,10000000,664579,2.155302
2,Dynamic,10000,10000000,664579,2.164151
2,Static,100000,10000000,664579,2.210718
2,Dynamic,100000,10000000,664579,2.223587
2,Static,1000000,10000000,664579,2.288353
2,Dynamic,1000000,10000000,664579,2.274886
2,Static,10000000,10000000,664579,4.250234
2,Dynamic,10000000,10000000,664579,4.307760
3,Static,100,10000000,664579,1.476798
3,Dynamic,100,10000000,664579,1.451791
3,Static,1000,10000000,664579,1.463556
3,Dynamic,1000,10000000,664579,1.447680
3,Static,10000,10000000,664579,1.474397
3,Dynamic,10000,10000000,664579,1.457926
3,Static,100000,10000000,664579,1.457766
3,Dynamic,100000,10000000,664579,1.454292
3,Static,1000000,10000000,664579,1.656063
3,Dynamic,1000000,10000000,664579,1.683203
3,Static,10000000,10000000,664579,4.248117
3,Dynamic,10000000,10000000,664579,4.289830
