NroThreads,Filas,Columnas,Tiempo
1,500,500,1.490615
1,700,700,4.418273
1,900,900,9.427721
1,1100,1100,18.249604
1,1300,1300,31.817314
2,500,500,1.475494
2,700,700,4.447272
2,900,900,9.280223
2,1100,1100,18.230632
2,1300,1300,32.212735
3,500,500,1.501397
3,700,700,4.228016
3,900,900,9.526181
3,1100,1100,18.332459
3,1300,1300,32.432159
4,500,500,1.469805
4,700,700,4.146431
4,900,900,9.330824
4,1100,1100,18.254813
4,1300,1300,31.708213
5,500,500,1.490494
5,700,700,4.161595
5,900,900,9.313697
5,1100,1100,18.257269
5,1300,1300,31.702738
6,500,500,1.478605
6,700,700,4.193797
6,900,900,9.423483
6,1100,1100,18.227772
6,1300,1300,31.091054
1,500,500,1.407057
1,700,700,3.966614
1,900,900,8.560132
1,1100,1100,15.848283
1,1300,1300,26.914673
2,500,500,1.405138
2,700,700,3.887101
2,900,900,8.429752
2,1100,1100,15.823119
2,1300,1300,27.111074
3,500,500,1.409565
3,700,700,3.921717
3,900,900,8.516597
3,1100,1100,15.989663
3,1300,1300,27.643548
4,500,500,1.464448
4,700,700,3.971606
4,900,900,8.709496
4,1100,1100,15.647568
4,1300,1300,27.200885
5,500,500,1.405072
5,700,700,3.916128
5,900,900,8.592952
5,1100,1100,15.633161
5,1300,1300,27.005345
6,500,500,1.415755
6,700,700,3.921306
6,900,900,8.555936
6,1100,1100,15.842532
6,1300,1300,27.196644
1,500,500,1.408254
1,700,700,3.903712
1,900,900,8.619256
1,1100,1100,15.867023
1,1300,1300,26.946627
2,500,500,1.411589
2,700,700,3.924773
2,900,900,8.619889
2,1100,1100,15.863024
2,1300,1300,27.155289
3,500,500,1.406412
3,700,700,3.926600
3,900,900,8.534708
3,1100,1100,15.847807
3,1300,1300,27.065586
4,500,500,1.411993
4,700,700,3.903835
4,900,900,8.496564
4,1100,1100,15.874400
4,1300,1300,26.964616
5,500,500,1.413574
5,700,700,4.083921
5,900,900,8.581171
5,1100,1100,15.928145
5,1300,1300,26.876864
6,500,500,1.413039
6,700,700,3.915773
6,900,900,8.553561
6,1100,1100,15.856473
6,1300,1300,27.042999
1,500,500,1.407018
1,700,700,3.918018
1,900,900,8.555121
1,1100,1100,15.799139
1,1300,1300,27.242142
2,500,500,1.412852
2,700,700,3.931374
2,900,900,8.472935
2,1100,1100,15.753156
2,1300,1300,27.064275
3,500,500,1.407935
3,700,700,3.954184
3,900,900,8.556892
3,1100,1100,15.715453
3,1300,1300,27.181993
4,500,500,1.408818
4,700,700,3.916531
4,900,900,8.497703
4,1100,1100,15.934655
4,1300,1300,27.096744
5,500,500,1.406847
5,700,700,4.054011
5,900,900,8.538684
5,1100,1100,15.976697
5,1300,1300,27.193613
6,500,500,1.402663
6,700,700,4.041611
6,900,900,8.529100
6,1100,1100,15.927480
6,1300,1300,27.294744
1,500,500,1.397079
1,700,700,4.071359
1,900,900,8.505863
1,1100,1100,15.901350
1,1300,1300,27.054530
2,500,500,1.399106
2,700,700,3.921011
2,900,900,8.527782
2,1100,1100,15.796014
2,1300,1300,27.141400
3,500,500,1.400399
3,700,700,3.935873
3,900,900,8.498444
3,1100,1100,15.687059
3,1300,1300,27.130119
4,500,500,1.401319
4,700,700,4.089532
4,900,900,8.498061
4,1100,1100,15.748046
4,1300,1300,27.376117
5,500,500,1.403182
5,700,700,3.977056
5,900,900,8.558236
5,1100,1100,15.849809
5,1300,1300,27.074571
6,500,500,1.404908
6,700,700,4.001417
6,900,900,8.597974
6,1100,1100,16.508520
6,1300,1300,26.862760
