NumThreads,Estrategia,Tiempo
1,Reduction,0.014597
1,Critical,0.016135
1,Ordered,0.009110
1,Reduction,0.005763
1,Critical,0.011012
1,Ordered,0.008556
1,Reduction,0.005629
1,Critical,0.011001
1,Ordered,0.012382
1,Reduction,0.009950
1,Critical,0.012748
1,Ordered,0.008787
1,Reduction,0.005662
1,Critical,0.011037
1,Ordered,0.008570
1,Reduction,0.005695
1,Critical,0.011067
1,Ordered,0.008540
1,Reduction,0.005675
1,Critical,0.010944
1,Ordered,0.008952
1,Reduction,0.005656
1,Critical,0.010944
1,Ordered,0.008541
1,Reduction,0.006395
1,Critical,0.010989
1,Ordered,0.008545
1,Reduction,0.005632
1,Critical,0.010933
1,Ordered,0.008483
1,Reduction,0.005661
1,Critical,0.010956
1,Ordered,0.008564
1,Reduction,0.005684
1,Critical,0.010972
1,Ordered,0.008533
1,Reduction,0.005633
1,Critical,0.010929
1,Ordered,0.008473
1,Reduction,0.005486
1,Critical,0.011107
1,Ordered,0.008347
1,Reduction,0.005508
1,Critical,0.010692
1,Ordered,0.008797
1,Reduction,0.005504
1,Critical,0.011066
1,Ordered,0.008394
1,Reduction,0.006119
1,Critical,0.010724
1,Ordered,0.008324
1,Reduction,0.005567
1,Critical,0.010691
1,Ordered,0.008340
1,Reduction,0.005549
1,Critical,0.010640
1,Ordered,0.008391
1,Reduction,0.005490
1,Critical,0.011008
1,Ordered,0.008327
1,Reduction,0.005500
1,Critical,0.010709
1,Ordered,0.008333
1,Reduction,0.005470
1,Critical,0.011132
1,Ordered,0.008423
1,Reduction,0.005574
1,Critical,0.010898
1,Ordered,0.008749
1,Reduction,0.005555
1,Critical,0.010796
1,Ordered,0.008440
1,Reduction,0.006287
1,Critical,0.010780
1,Ordered,0.008804
1,Reduction,0.005910
1,Critical,0.011664
1,Ordered,0.009352
1,Reduction,0.010055
1,Critical,0.013688
1,Ordered,0.008607
1,Reduction,0.005714
1,Critical,0.010912
1,Ordered,0.008530
1,Reduction,0.005621
1,Critical,0.010850
1,Ordered,0.008278
1,Reduction,0.005931
1,Critical,0.010765
1,Ordered,0.008381
1,Reduction,0.005491
1,Critical,0.011034
1,Ordered,0.008349
1,Reduction,0.005503
1,Critical,0.010669
1,Ordered,0.008564
1,Reduction,0.005546
1,Critical,0.010827
1,Ordered,0.008350
1,Reduction,0.005654
1,Critical,0.010745
1,Ordered,0.008410
1,Reduction,0.005494
1,Critical,0.010733
1,Ordered,0.008328
1,Reduction,0.006093
1,Critical,0.010801
1,Ordered,0.008348
1,Reduction,0.005488
1,Critical,0.010765
1,Ordered,0.008280
1,Reduction,0.005939
1,Critical,0.010980
1,Ordered,0.008912
1,Reduction,0.005654
1,Critical,0.011141
1,Ordered,0.008440
1,Reduction,0.005785
1,Critical,0.010833
1,Ordered,0.009205
1,Reduction,0.005588
1,Critical,0.010962
1,Ordered,0.008580
1,Reduction,0.005622
1,Critical,0.010953
1,Ordered,0.009280
1,Reduction,0.005650
1,Critical,0.010992
1,Ordered,0.008611
1,Reduction,0.005679
1,Critical,0.010922
1,Ordered,0.008562
1,Reduction,0.005623
1,Critical,0.010803
1,Ordered,0.008359
1,Reduction,0.005471
1,Critical,0.010780
1,Ordered,0.008411
1,Reduction,0.005580
1,Critical,0.011190
1,Ordered,0.008379
1,Reduction,0.005501
1,Critical,0.010959
1,Ordered,0.008418
1,Reduction,0.005533
1,Critical,0.010752
1,Ordered,0.008375
1,Reduction,0.005508
1,Critical,0.010671
1,Ordered,0.008300
1,Reduction,0.005470
1,Critical,0.010717
1,Ordered,0.008370
1,Reduction,0.005907
1,Critical,0.010815
1,Ordered,0.008370
1,Reduction,0.005494
1,Critical,0.010717
1,Ordered,0.008276
1,Reduction,0.005897
1,Critical,0.010710
1,Ordered,0.008338
1,Reduction,0.005523
1,Critical,0.011104
1,Ordered,0.008319
1,Reduction,0.005657
1,Critical,0.010663
1,Ordered,0.008551
1,Reduction,0.005512
1,Critical,0.010763
1,Ordered,0.008354
1,Reduction,0.005523
1,Critical,0.011038
1,Ordered,0.008426
1,Reduction,0.005519
1,Critical,0.010747
1,Ordered,0.008337
1,Reduction,0.006047
1,Critical,0.010817
1,Ordered,0.008343
1,Reduction,0.005510
1,Critical,0.010748
1,Ordered,0.008276
1,Reduction,0.005953
1,Critical,0.010804
1,Ordered,0.008313
1,Reduction,0.005592
1,Critical,0.010701
1,Ordered,0.008336
1,Reduction,0.005604
1,Critical,0.010658
1,Ordered,0.008780
1,Reduction,0.005504
1,Critical,0.010774
1,Ordered,0.008343
1,Reduction,0.005533
1,Critical,0.010717
1,Ordered,0.008713
1,Reduction,0.005584
1,Critical,0.010826
1,Ordered,0.008298
1,Reduction,0.006037
1,Critical,0.010767
1,Ordered,0.008360
1,Reduction,0.005645
1,Critical,0.010703
1,Ordered,0.008344
1,Reduction,0.005539
1,Critical,0.010640
1,Ordered,0.008349
1,Reduction,0.005482
1,Critical,0.010788
1,Ordered,0.008289
1,Reduction,0.005572
1,Critical,0.010743
1,Ordered,0.008964
1,Reduction,0.005571
